What is Python? What are the benefits of using Python?,"Python is a programming language with objects, modules, threads, exceptions and automatic memory management. The benefits of pythons are that it is simple and easy, portable, extensible, build-in data structure and it is an open source."
What is PEP 8?,"PEP 8 is a coding convention, a set of recommendation, about how to write your Python code more readable."
What is pickling and unpickling?,"Pickle module accepts any Python object and converts it into a string representation and dumps it into a file by using dump function, this process is called pickling. While the process of retrieving original Python objects from the stored string representation is called unpickling."
How Python is interpreted?,"Python language is an interpreted language. Python program runs directly from the source code. It converts the source code that is written by the programmer into an intermediate language, which is again translated into machine language that has to be executed."
How memory is managed in Python?,Python memory is managed by Python private heap space. All Python objects and data structures are located in a private heap. The programmer does not have an access to this private heap and interpreter takes care of this Python private heap
What are the tools that help to find bugs or perform static analysis?,PyChecker is a static analysis tool that detects the bugs in Python source code and warns about the style and complexity of the bug. Pylint is another tool that verifies whether the module meets the coding standard.
What are Python decorators?,A Python decorator is a specific change that we make in Python syntax to alter functions easily.
What is the difference between list and tuple?,The difference between list and tuple is that list is mutable while tuple is not. Tuple can be hashed for e.g as a key for dictionaries
How are arguments passed by value or by reference?,"Everything in Python is an object and all variables hold references to the objects. The references values are according to the functions; as a result you cannot change the value of the references. However, you can change the objects if it is mutable."
What is Dict and List comprehensions are?,They are syntax constructions to ease the creation of a Dictionary or List based on existing iterable.
What are the built-in type does python provides?,There are mutable and Immutable types of Pythons built in types Mutable built-in types • List • Sets • Dictionaries Immutable built-in types • Strings • Tuples • Numbers
What is namespace in Python?,"In Python, every name introduced has a place where it lives and can be hooked for. This is known as namespace. It is like a box where a variable name is mapped to the object placed. Whenever the variable is searched out, this box will be searched, to get corresponding object."
What is lambda in Python?,It is a single expression anonymous function often used as inline function.
Why lambda forms in python does not have statements?,A lambda form in python does not have statements as it is used to make new function object and then return them at runtime.
What is pass in Python?,"Pass means, no-operation Python statement, or in other words it is a place holder in compound statement, where there should be a blank left and nothing has to be written there."
In Python what are iterators?,"In Python, iterators are used to iterate a group of elements, containers like list."
What is unittest in Python?,"A unit testing framework in Python is known as unittest. It supports sharing of setups, automation testing, shutdown code for tests, aggregation of tests into collections etc."
In Python what is slicing?,"A mechanism to select a range of items from sequence types like list, tuple, strings etc. is known as slicing."
What are generators in Python?,The way of implementing iterators are known as generators. It is a normal function except that it yields expression in the function.
What is docstring in Python?,"A Python documentation string is known as docstring, it is a way of documenting Python functions, modules and classes"
How can you copy an object in Python?,"To copy an object in Python, you can try copy.copy () or copy.deepcopy() for the general case. You cannot copy all objects but most of them."
